"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"4:5","15","4","60","1","0",82,81,91,6.75,13.054,14.884,"28.100992",0.0123456790123457,1.65432098765432,2,1,0,"NO",153
"4:7","21","4","60","10","0",38,43,52,3.58333333333333,16.47,10.98,"17.8608",0.116279069767442,1,1,1,0,"NO",154
"4:7","22","4","60","10","0",44,43,52,3.58333333333333,18.544,9.394,"16.982644",0.0232558139534884,0,0,0,0,"NO",155
"4:8","27","4","60","16","0",71,76,80,6.33333333333333,43.432,39.284,"71.711112",0.0657894736842105,1.36585365853659,2,0.692307692307692,0,"NO",156
"4:8","28","4","60","16","0",49,77,81,6.41666666666667,31.964,26.108,"36.927204",0.363636363636364,1,1,1,0,"NO",157
"4:8","30","4","60","11","0",162,161,177,13.4166666666667,18.91,25.864,"48.700448",0.0062111801242236,1.81560283687943,2,1,0,"NO",158
"5:12","13","5","60","2","0",39,38,42,3.16666666666667,38.796,15.86,"36.584872",0.0263157894736842,1.86363636363636,2,1,0,"NO",159
"5:12","14","5","60","2","0",46,47,51,3.91666666666667,50.02,21.472,"44.20548",0.0212765957446809,1.54545454545455,4,0.90625,0,"NO",160
"5:14","18","5","60","9","0",129,143,149,11.9166666666667,32.574,34.892,"82.725272",0.0979020979020979,1,1,1,0,"NO",161
"5:14","19","5","60","9","0",134,139,145,11.5833333333333,45.628,38.796,"79.688936",0.0359712230215827,1.89719626168224,2,0.989795918367347,0,"NO",162
"5:14","20","5","60","5","0",75,74,81,6.16666666666667,33.672,31.232,"86.729068",0.0135135135135135,2,3,0.944444444444445,0,"NO",163
"5:14","22","5","60","8","0",77,137,145,11.4166666666667,58.194,83.082,"198.135808",0.437956204379562,1.90322580645161,7,1,0,"NO",164
"5:14","23","5","60","8","0",77,137,145,11.4166666666667,49.41,83.082,"198.135808",0.437956204379562,2.09836065573771,4,0.522727272727273,0,"NO",165
"5:14","24","5","60","10","0",108,136,147,11.3333333333333,39.894,45.262,"86.729068",0.205882352941176,1.59223300970874,3,0.710691823899371,0,"NO",166
"5:14","25","5","60","10","0",105,137,148,11.4166666666667,50.874,50.874,"114.949132",0.233576642335766,1.33333333333333,2,0.708333333333333,0,"NO",167
"5:15","15","5","60","3","0",97,96,101,8,52.826,43.066,"113.550036",0.0104166666666667,2.25806451612903,5,0.677272727272727,0,"NO",168
"5:15","19","5","60","7","0",42,41,53,3.41666666666667,37.942,14.03,"55.844768",0.024390243902439,1.1304347826087,2,0.666666666666667,0,"NO",169
"5:1","10","5","60","6","0",100,100,112,8.33333333333333,51.606,19.276,"46.155284",0,2.03571428571429,4,0.58974358974359,0,"NO",170
"5:1","12","5","60","4","0",67,72,85,6,43.92,49.288,"156.088508",0.0694444444444444,2.33928571428571,3,0.904761904761905,0,"NO",171
"5:2","19","5","60","8","0",58,74,80,6.16666666666667,53.314,47.336,"98.993484",0.216216216216216,1.80434782608696,3,0.928571428571428,0,"NO",172
"5:2","22","5","60","6","0",88,119,125,9.91666666666667,48.678,77.104,"211.79932",0.260504201680672,1.92,2,1,1,"YES",173
"5:2","24","5","60","1","0",115,162,170,13.5,59.414,69.662,"256.168524",0.290123456790123,1.89,3,0.727272727272727,0,"NO",174
"5:2","25","5","60","4","0",81,118,129,9.83333333333333,46.238,62.708,"162.845844",0.313559322033898,1.49253731343284,2,0.84375,0,"NO",175
"5:2","26","5","60","4","0",83,118,129,9.83333333333333,46.482,62.708,"162.845844",0.296610169491525,1.43283582089552,4,0.916666666666667,0,"NO",176
"5:2","27","5","60","17","0",71,79,97,6.58333333333333,30.134,29.28,"65.757512",0.10126582278481,1,1,1,0,"NO",177
"5:3","13","5","60","5","0",79,78,86,6.5,58.194,25.01,"95.123644",0.0128205128205128,1.88,4,0.916666666666667,0,"NO",178
"5:4","13","5","60","4","0",84,83,86,6.91666666666667,67.222,42.09,"82.38294",0.0120481927710843,1.8,3,0.933333333333333,0,"NO",179
"5:4","15","5","60","7","0",77,76,83,6.33333333333333,64.782,27.938,"89.631448",0.0131578947368421,1.84722222222222,4,1,0,"NO",180
"5:4","18","5","60","5","0",96,186,194,15.5,48.8,49.776,"125.10002",0.483870967741935,1.93506493506494,2,0.993150684931507,0,"NO",181
"5:5","7","5","60","1","0",106,105,109,8.75,48.312,50.142,"152.099596",0.00952380952380952,2.47252747252747,4,0.878378378378378,1,"YES",182
"5:6","16","5","60","3","0",99,101,108,8.41666666666667,39.406,41.724,"141.54684",0.0198019801980198,1.92,2,0.972602739726027,0,"NO",183
"5:6","17","5","60","3","0",99,183,190,15.25,39.406,53.924,"143.198964",0.459016393442623,1.42105263157895,2,0.98780487804878,0,"NO",184
"5:6","18","5","60","7","0",96,176,184,14.6666666666667,52.338,71.126,"206.485732",0.454545454545455,2.5875,4,0.743243243243243,0,"NO",185
"5:6","19","5","60","7","0",90,176,184,14.6666666666667,51.24,71.126,"206.485732",0.488636363636364,1.75555555555556,3,0.789855072463768,0,"NO",186
"5:6","20","5","60","2","0",133,204,213,17,50.02,49.288,"196.855784",0.348039215686274,2.74166666666667,4,0.829710144927536,1,"YES",187
"5:6","21","5","60","2","0",134,137,146,11.4166666666667,53.558,55.022,"196.855784",0.0218978102189781,2.16037735849057,3,0.864864864864865,0,"NO",188
"5:9","18","5","60","8","0",62,76,81,6.33333333333333,49.532,19.032,"43.744076",0.184210526315789,2.75757575757576,6,0.944444444444445,0,"NO",189
"5:9","19","5","60","8","0",71,73,78,6.08333333333333,42.944,17.69,"52.808432",0.0273972602739726,2.03125,3,0.944444444444445,0,"NO",190
"6:10","15","6","30","5","0",56,55,62,4.58333333333333,96.38,48.556,"112.3742",0.0181818181818182,2.91428571428571,7,0.936507936507937,0,"NO",191
"6:10","16","6","30","5","0",74,74,81,6.16666666666667,65.026,57.706,"142.43988",0,1.57142857142857,3,0.797619047619048,2,"YES",192
"6:10","17","6","30","7","0",63,62,72,5.16666666666667,71.492,50.264,"153.960096",0.0161290322580645,1,1,1,0,"NO",193
"6:10","19","6","30","2","0",77,115,127,9.58333333333333,104.92,97.478,"278.866624",0.330434782608696,1.56,3,0.742424242424242,0,"NO",194
